"R1","R2","R3","R4","R5","R6","R7","R8","I1","I2","I3","I4","I5","I6","I7","I8","education","gender","age","race","country"
5,1,1,3,2,1,3,1,3,3,3,4,3,3,3,3,1,2,16,1,"US"
1,1,2,3,2,1,2,2,1,4,5,4,3,4,3,4,1,2,16,1,"US"
3,3,2,4,3,3,3,3,5,5,5,5,5,4,5,3,1,2,19,1,"US"
1,3,1,1,1,2,1,2,2,2,1,1,1,3,1,1,4,2,45,4,"US"
1,3,1,1,1,3,1,3,5,5,5,5,5,5,5,4,2,2,23,4,"US"
4,4,1,4,1,4,2,1,5,5,1,4,4,5,5,5,4,2,38,4,"US"
3,1,1,1,1,1,1,1,5,5,5,3,5,5,1,5,4,2,29,4,"US"
2,2,3,3,2,2,2,3,5,5,5,4,5,5,5,5,2,3,17,4,"US"
2,4,2,2,2,4,3,4,3,4,4,3,3,4,4,5,3,1,61,4,"US"
2,1,3,1,2,1,2,2,5,4,4,4,3,4,3,1,2,1,21,4,"US"
3,4,1,2,1,2,2,2,4,4,1,1,1,1,1,1,3,2,22,4,"US"
3,3,2,4,2,4,2,3,5,5,5,3,4,5,3,5,3,2,22,5,"US"
3,4,4,5,3,4,3,4,4,3,5,4,4,5,4,4,2,1,18,4,"US"
4,2,1,4,1,5,4,3,3,3,1,3,1,2,3,1,3,2,22,3,"US"
2,2,1,1,1,2,3,2,2,5,5,4,5,5,4,3,3,2,22,4,"US"
3,1,2,1,1,2,1,1,3,1,1,2,1,1,1,3,2,2,18,5,"US"
2,4,1,5,5,5,5,3,4,4,2,5,3,2,4,5,2,2,19,4,"US"
1,1,1,1,1,1,1,1,5,1,1,4,4,1,1,4,3,2,28,4,"US"
3,2,1,2,1,3,2,2,3,3,3,4,2,2,2,2,3,2,20,4,"US"
1,4,5,1,4,5,4,4,1,3,3,4,4,4,4,5,1,1,15,4,"US"
3,2,2,3,2,2,3,2,4,3,4,3,3,3,4,3,2,2,23,4,"US"
1,1,1,1,1,1,1,1,5,1,1,5,4,1,3,1,2,2,16,3,"US"
2,2,3,1,2,3,3,2,5,5,4,4,4,4,4,3,3,2,21,4,"US"
3,4,1,4,2,3,3,2,3,4,4,3,3,3,3,2,3,2,23,1,"US"
1,2,1,4,2,2,3,1,4,2,1,5,2,1,1,1,3,1,47,5,"US"
4,1,1,5,2,3,4,2,1,2,3,3,3,3,3,3,3,1,35,3,"US"
